city,outlet,headline_uk,link,published,quote_uk,category,status,provenance,provenance_detail_uk,run
Poltava,kolo.news,—,https://kolo.news/category/suspilstvo/48203,"16.07, 11:55","«Загалом, за нашими підрахунками, на Театральну площу прийшли близько 70 осіб»",<100,took place,own correspondent,власний підрахунок,13:00
Poltava,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 11:25","«У центрі Полтаві на протест вийшли близько сотні людей, повідомляє Суспільне»",100–999,took place,relay,ретрансляція Суспільного (Полтава),13:00
Poltava,Суспільне Полтава,Акція в Полтаві,https://suspilne.media/poltava/1356408-u-poltavi-ludi-vijsli-na-miting-proti-vidstavki-ministra-oboroni-mihajla-fedorova/,16.07,"«За підрахунками Суспільного, на акцію протесту прийшло близько сотні людей»",100–999,took place,own correspondent,власний кор.,13:00
Uzhhorod,Суспільне Ужгород,Акцію на підтримку Михайла Федорова розпочали в Ужгороді,https://suspilne.media/uzhhorod/1356348-akciu-na-pidtrimku-mihajla-fedorova-rozpocali-v-uzgorodi/,"16.07, 09:12",«На протест зібралися близько 50 людей»,<100,took place,own correspondent,власна кор. Яна Созанська,13:00
Rivne,Суспільне Рівне,"«Це постріл собі в ногу, причому нога тільки одна»: що розповіли учасники акції на підтримку Михайла Федорова у Рівному",https://suspilne.media/rivne/1356468-ce-postril-sobi-v-nogu-pricomu-noga-tilki-odna-so-rozpovili-ucasniki-akcii-na-pidtrimku-mihajla-fedorova-u-rivnomu/,"16.07, 11:15",«Приблизно півсотні людей взяли участь в акції»,<100,took place,own correspondent,власна авторка Юлія Савчук,13:00
Rivne,Рівне Вечірнє,У Рівному мітингують проти відставки міністра Федорова,https://rivnepost.rv.ua/news/u-rivnomu-mitynguyut-proty-vidstavky-ministra-fedorova/,"16.07, 09:33",«На Театральній площі в центрі міста зібралися десятки людей з плакатами»,<100,took place,own correspondent,власна авторка Олена Ракс,13:00
Rivne,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",невідомо,unknown,took place,relay,ретрансляція Суспільного,13:00
Rivne,24 Канал,(зведення),https://24tv.ua/kiyevi-bagatoh-mistah-pochalisya-mitingi-proti-vidstavki-fedorova_n3106551,"16.07, 10:35",невідомо,unknown,took place,not stated,не вказано,13:00
Mykolaiv,Суспільне Миколаїв,Акція у Миколаєві,https://suspilne.media/mykolaiv/1356386-mikolaivci-vijsli-na-akciu-protestu-proti-vidstavki-fedorova/,"16.07, 09:42 (онов. 11:02)","«Біля міської ради зібралися 45 людей»; «Захід тривав близько 1,5 години»",<100,took place,own correspondent,власний кор.,13:00
Mykolaiv,0512.com.ua,У Миколаєві пройшла акція протесту на підтримку Михайла Федорова,https://www.0512.com.ua/news/4130816/u-mikolaevi-projsla-akcia-protestu-na-pidtrimku-mihajla-fedorova-foto,"16.07, 11:10",«взяли участь близько пів сотні людей»,<100,took place,own correspondent,власне видання,13:00
Mykolaiv,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41",«зібралися 26 людей з плакатами»  застаріла,<100,took place,relay,застаріле дзеркало,13:00
Mykolaiv,Главком,Картонковий майдан повертається?,https://glavcom.ua/country/incidents/kartonkovij-majdan-povertajetsja-fanati-fedorova-zbirajutsja-u-riznikh-mistakh-ukrajini-foto-1131411.html,"16.07, 09:34",«Біля будівлі міської ради зібралися 26 людей»  підзаголовок каже «кілька десятків» — беремо тіло,<100,took place,not stated,не вказано,13:00
Mykolaiv,Censor.NET,(фоторепортаж),https://censor.net/ua/photonews/4013779/u-mistah-ukrayiny-prohodyat-aktsiyi-na-pidtrymku-fedorova,"16.07, 10:28","«близько 10:00 відбувся мітинг із картонними плакатами, на який вийшло приблизно 30 людей»",<100,took place,relay,ретрансляція (МикВісті)  містить помилку: «міністра цифрової трансформації»,13:00
Mykolaiv,24 Канал,(зведення),https://24tv.ua/kiyevi-bagatoh-mistah-pochalisya-mitingi-proti-vidstavki-fedorova_n3106551,"16.07, 10:35",невідомо,unknown,took place,not stated,не вказано,13:00
Chernivtsi,Суспільне Чернівці,"«Сирського в Скелю, Федорова – в МО»: кілька десятків людей у Чернівцях вийшли на акцію підтримки",https://suspilne.media/chernivtsi/1356404-kilka-desatkiv-ludej-u-cernivcah-vijsli-na-akciu-pidtrimki-mihajla-fedorova/,"16.07, 10:00",«у Чернівцях кілька десятків людей вийшли на Центральну площу»,<100,took place,own correspondent,власний кор.,13:00
Chernivtsi,Чернівецький промінь,У Чернівцях протестують проти звільнення Михайла Федорова з посади міністра оборони,https://promin.cv.ua/2026/07/16/u-chernivtsiakh-protestuiut-proty-zvilnennia-mykhaila-fedorova-z-posady-ministra-oborony.html,16.07,«На Центральній площі міста в акції взяли участь десятки людей»,<100,took place,own correspondent,власне видання,13:00
Chernivtsi,0372.ua,У Чернівцях люди вийшли на протест проти відставки Михайла Федорова,https://www.0372.ua/news/4130748/u-cernivcah-ludi-vijsli-na-protest-proti-vidstavki-mihajla-fedorova-foto,"16.07, 09:41",невідомо,unknown,took place,own correspondent,власна кор. Марія Мартинюк,13:00
Chernivtsi,Молодий буковинець,—,https://molbuk.ua/chernivtsi_news/360348,"16.07, 10:35",невідомо,unknown,took place,own correspondent,власне видання,13:00
Chernivtsi,Шпальта,«Зараз не час для дурних рішень»: у Чернівцях триває мирний протест проти відставки міністра оборони Федорова,https://shpalta.media/2026/07/16/zaraz-ne-chas-dlya-durnix-rishen-u-chernivcyax-trivaye-mirnij-protest-proti-vidstavki-ministra-oboroni-fedorova/,16.07,невідомо,unknown,took place,own correspondent,власне видання,13:00
Chernivtsi,ZN.UA,«Не чіпайте Федорова»: у Києві та інших містах мітингують проти відставки міністра,https://zn.ua/ukr/UKRAINE/ne-chipajte-fedorova-u-kijevi-ta-inshikh-mistakh-mitinhujut-proti-vidstavki-ministra.html,"16.07, 10:10",невідомо,unknown,took place,own correspondent,кор. ZN.UA,13:00
Zhytomyr,Суспільне Житомир,Акція у Житомирі,https://suspilne.media/zhytomyr/1356392-u-zitomiri-vidbulasa-akcia-proti-zvilnenna-mihajla-fedorova-z-posadi-ministra-oboroni/,16.07,«на акцію підтримки… прийшли близько 30 людей»,<100,took place,own correspondent,власна кор. Марія Кравчук,13:00
Zhytomyr,Детектор медіа,(зведення),https://detector.media/infospace/article/251237/2026-07-16-u-kyievi-ta-inshykh-mistakh-rozpochalys-aktsii-protestu-proty-zvilnennya-mykhayla-fedorova-z-posady-ministra-oborony-foto/,"16.07, 09:40",невідомо,unknown,took place,relay,ретрансляція Суспільного,13:00
Kropyvnytskyi,Суспільне Кропивницький,Акція у Кропивницькому,https://suspilne.media/kropyvnytskiy/1356374-akciu-na-pidtrimku-mihajla-fedorova-rozpocali-u-kropivnickomu/,"16.07, 09:31 (онов. 12:34)","«Акція відбулась на площі Героїв Майдану… Спочатку, за підрахунками Суспільного, було 30 людей, о 9:30 — 60»",<100,took place,own correspondent,"власний підрахунок Суспільного, дві точки",13:00
Kropyvnytskyi,Censor.NET,(фоторепортаж),https://censor.net/ua/photonews/4013779/u-mistah-ukrayiny-prohodyat-aktsiyi-na-pidtrymku-fedorova,"16.07, 10:28",«Станом на 09:30 на площі Героїв Майдану у Кропивницькому зібралися близько 60 учасників»,<100,took place,relay,ретрансляція з ТГ «Мій Кропивницький»,13:00
Sumy,Цукр (cukr.city),Сум'яни протестують проти відставки Федорова,https://cukr.city/city/2026/sumiany-protestuiut-proty-vidstavky-fedorova/,"16.07, 13:06","«Через близькість до фронту сум'яни не можуть виходити на багатолюдні мітинги. Водночас вони закликають виходити на протести в містах, розташованих далі від фронту»; «Сум'яни збираються в центрі міста здебільшого на поодинокі пікети. Люди також залишають у різних точках Сум «картонки»»",<100,took place,own correspondent,власна авторка Юлія Опанасенко,13:00
Sumy,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",невідомо,unknown,took place,open-source photo,фото з відкритих джерел,13:00
Vinnytsia,Суспільне Вінниця,Акція у Вінниці,https://suspilne.media/vinnytsia/1356354-u-vinnici-prohodit-akcia-na-pidtrimku-zvilnenogo-ministra-oboroni-mihajla-fedorova/,"16.07, 09:26 (онов. 11:22)","«За підрахунками представників поліції діалогу, участь у заході взяли майже 120 людей»",100–999,took place,police,поліція діалогу,13:00
Vinnytsia,Vежа,Вінниця за Федорова: у місті відбулася акція протесту проти відставки міністра оборони Михайла Федорова,https://vezha.ua/vinnytsya-za-fedorova-u-misti-vidbulasya-aktsiya-protestu-proty-vidstavky-ministra-oborony-myhajla-fedorova/,"16.07, 12:03",цифри немає,unknown,took place,own correspondent,власне видання,13:00
Vinnytsia,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 10:45",«акція менш численна» (без цифри),unknown,took place,not stated,не вказано,13:00
Vinnytsia,Censor.NET,(фоторепортаж),https://censor.net/ua/photonews/4013779/u-mistah-ukrayiny-prohodyat-aktsiyi-na-pidtrymku-fedorova,"16.07, 10:28",невідомо (перевірено адресно — цифри на сторінці немає),unknown,took place,relay,ретрансляція з ТГ,13:00
Chernihiv,0462.ua,«Поверніть ефективного МО». Протест у Чернігові через відставку Федорова 16 липня,https://www.0462.ua/news/4130770/povernit-efektivnogo-mo-protest-u-cernigovi-cerez-vidstavku-fedorova-16-lipna,"16.07, 10:15",цифри немає: «Вранці 16 липня на Красній площі у Чернігові зібрався мітинг»,unknown,took place,own correspondent,"власне репортування, власні фото — Вікторія Гаврик",13:00
Chernihiv,Главком,Картонковий майдан повертається?,https://glavcom.ua/country/incidents/kartonkovij-majdan-povertajetsja-fanati-fedorova-zbirajutsja-u-riznikh-mistakh-ukrajini-foto-1131411.html,"16.07, 09:34",невідомо,unknown,took place,not stated,не вказано,13:00
Kryvyi Rih,1kr.ua,—,https://1kr.ua/ua/news-112818.html,"16.07, 09:24 (онов. 09:47)",цифри немає: учасники зібралися «біля флагштока у парку Героїв»; провели «мирну ходу від флагштоку до кільця 95 кварталу»,unknown,took place,own correspondent,власне видання,13:00
Kryvyi Rih,1kr.ua,«Проти відставки Федорова»: 16 липня криворіжці вийшли на картонний мітинг,https://1kr.ua/ua/news-112818.html,"16.07, 10:26",невідомо (лише цитати),unknown,took place,own correspondent,власне видання,13:00
Kryvyi Rih,0564.ua,"«Федорова верніть»: українці вийшли на вулиці Києва, Львова, Кривого Рогу",https://www.0564.ua/news/4130829/fedorova-vernit-ukrainci-vijsli-na-vulici-kieva-lvova-krivogo-rogu-foto,"16.07, 11:53",невідомо,unknown,took place,own correspondent,власне видання,13:00
